instruction,input,response
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Laksefilet med ovnsbakte grønnsaker. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Biffwok med nudler og mango. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Klassisk pasta carbonara. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Røkte kjøttpølser med smørdampede rotgrønnsaker. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,"Recipe: Wok med torsk, kikerter og spinat. Offers: .",Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Bali kyllinggryte. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pølsegrateng med pasta. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Wok med villreker. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Fullkornspasta med kremet grønnkål. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Blomkålsuppe med kikerter og grønnkål. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Stifado. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Nakkekoteletter med byggrynsalat. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Vegetarlasagne. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pasta Alfredo. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Blomkålsuppe. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kyllinggrateng med grønnsaker. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Laks teriyaki med ris. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pasta med kjøttboller. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Vegetarburger med hummus. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Wok med svinekjøtt og nudler. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Lun salat med gulrøtter og avokado. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Vegetarburger med hummus. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Ramen nudelsuppe med kylling. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Italiensk kyllinggryte. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,"Recipe: Grove wraps med kylling, avokado og mango. Offers: .",High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Cæsarsalat med kylling og bacon. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Hjemmelaget lasagne. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Hjemmelaget chili con carne. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Svinekoteletter med lun fransk potetsalat. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kjøttboller i fløtesaus med potetmos. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Quesadillas med kylling. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Moussaka. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pølsegrateng med grønnsaker. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Middagsbowl med kylling og appelsin. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Høstsalat med kylling og ovnsbakte grønnsaker. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kylling i kokossaus. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Gratinert kjøttform. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pasta carbonara med bacon og kylling. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Stekt kylling med blomkålris. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Enchiladas med kjøttdeig. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Asiatisk kyllingsalat. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kremet pasta med laks. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kyllingpai med mozzarella. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Klassisk lammefrikassé. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Grove quesadillas med kylling og grønnsaker. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kremet fiskesuppe med blåskjell og reker. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Grillet BBQ-kylling med salat. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pasta med kjøttsaus. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Indisk curry med kikerter og spinat. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Tacogryte med bønner og tomat. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kremet pasta med blåskjell. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Vegetar bowl. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Hjemmelaget tomatsuppe. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Spaghetti bolognese med oksekraft og soltørket tomat. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pastagrateng med kjøttdeig. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Hjemmelaget chili con carne. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Laksefilet med søtpotetmos og brokkolisalat. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kremet kyllinggryte med bacon. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pasta med saftig kylling og hjemmelaget pesto. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pasta med kyllingkjøttdeig. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kremet kyllinggryte med bacon. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Amerikanske pannekaker med bacon. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Middagsbowl med kylling og appelsin. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Svinekoteletter med fersken og chili. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,"Recipe: Grønnsakslasagne med søtpotet, aubergine og grønnkål. Offers: .",High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Tacopai med kjøttdeig. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Vegetarcurry. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Sommerkoteletter med grillet hjertesalat og roquefortdressing. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Fiskewok med grønnkål og sweet chilisaus. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,"Recipe: Pannekaker fylt med bacon, brie og lønnesirup. Offers: .",High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Enkel lys lapskaus. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kung Pao chicken. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kremet pasta med grillet kylling og hjemmelaget fløtesaus. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kylling- og karrigryte. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Rask fiskegryte. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Laks i form. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Poke med laks og quinoa. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Enkle pizzasnurrer med tacokjøttdeig. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pasta med medisterboller. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Laks med pesto og potetsalat. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Nakkekoteletter i form. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Stekt kveite med gresk salat. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Wraps med torskepinner og asiatisk dressing. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Minipizza. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,"Recipe: Wok med grønnsaker, nudler og kjøttpølse. Offers: .",Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Saftig lakseburger med tzatziki. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Fullkornspizza med kylling og ananas. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Asiatisk salat med glassnudler og pulled vegetar. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Rask stroganoff med strimlet svinekjøtt. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Spicy tacosalat. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Thai red curry med kylling. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Blomkålsuppe. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Hjemmelaget spinatsuppe. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Lapskaus uten kjøtt. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Grove og smakfulle vegetarwraps. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,"Recipe: Wok med nudler, tomatsaus og kjøttboller. Offers: .",Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pasta carbonara med bacon og kylling. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Grove og smakfulle vegetarwraps. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Viltgryte med reinsdyr. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Enkel pizza med karbonadedeig. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Fiskekaker i pita med aioli og reker. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Svinekoteletter med cornflakes og stekt paprika. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,"Recipe: Cubansk ostesmørbrød med Sveitser, pulled pork og sylteagurk. Offers: .",Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Wok med villreker. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Enkel lys lapskaus. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,"Recipe: Quesadilla med tacokjøtt, chunky salsa og guacamole. Offers: .",High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Klassisk vegetarburger med poteter og bernaise. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Lakseburger med tzatziki. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Fullkornswrap med reinskav og cashewnøtter. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Vegetarisk Buddha bowl. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Nakkekoteletter med rødvinssaus. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Krabbesmørbrød med aioli og sweet chili. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Asiatisk kyllingsalat. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Fylte pannekaker med ost og skinke. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Asiatisk salat med glassnudler og pulled vegetar. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Krabbeterte med tomatsalat. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Nakkekoteletter med rødkål. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Indisk curry med kikerter og spinat. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Laks med kryddersmør og grønnsakspakke. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kung Pao chicken. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pastasalat med pesto og fetaost. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Hjemmelaget fiskegrateng med makaroni. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Svinekoteletter med sjampinjongstuing. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Fullkornspasta med kremet grønnkål. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kremet fiskesuppe med laks og reker. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: God vegetarsalat med byggryn og gojibær. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,"Recipe: Kylling i form med urter, tomat og fløte. Offers: .",Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Lettsaltet torsk med eggesmør og gulrot. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Wok med reinsdyrskav. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Hjemmelaget blomkålsuppe med spekeskinke. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pasta med reker og sukkererter. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Dumplings fylt med reker og krabbe. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Green curry med kylling. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pastasalat med tomat og basilikum. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Fiskeburger med tzatziki og eple. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Hjemmelagde italienske kjøttboller. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Enkel fiskesuppe. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Vegetarbiff med bearnaisesaus og tomatsalat. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Bacalao. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Hjemmelaget løksuppe. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Ovnsbakt kylling med kikerter og paprika. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Seibiff med løk. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pasta med saftig kylling og hjemmelaget pesto. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Fylte svinekoteletter med frisk bønnesalat. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Wraps med pølse og kålsalat. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Meksikansk tomatsuppe med chorizo og rødløk. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Vegetarlasagne. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Panert fisk med kålsalat og ris. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Blomkålsuppe. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kyllingwok med nudler og grønnsaker. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Enkel gryte med kjøttkaker. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Hjemmelaget italiensk pizza med bacon. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Enchiladas med kjøttdeig. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Pizzasnurrer med skinke. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Grillet laks med agurksalat. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Lettsaltet torsk og sukkererter i folie med dill- og chilismør. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Lettsaltet torsk med erter og serranoskinke. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Ovnsbakt torsk med kikerter og chorizo. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Ovnsbakt torsk med persilleskorpe og linsestuing. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Stekt makrell med smørstekt purre. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Stekt torsk med grønnsaker og teriyakisaus. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Stekt laks med blomkålpuré og ristede mandler. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Ovnsbakt torsk med bacon og hummus. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kyllingfilet i ovn med bacon og paprikasalat. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Baconsurret kyllingfilet med brie. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Fylte svinekoteletter med balsamicobakt løk og salat. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Helstekt svinefilet med grønnsaksform. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Fylte svinekoteletter med frisk bønnesalat. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Lammekoteletter i form med sopp og rosmarin. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Marinert svinefilet med asparges og chèvresalat. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Kyllinglår med tomat og pastasalat. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Nakkekoteletter med gratinert brokkoli og purre. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Svinefilet i form. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Svinekoteletter i form. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Svinekoteletter med lun fransk potetsalat. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,"Recipe: Viltkarbonader med sopp, kål og selleripuré. Offers: .",Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Surret lammestek med rosmarin og sopprisotto. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Hummer med asparges og creme fraiche. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Laks med mango- og avokadosalat. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Grytestekt lammelår i mørkt øl med rotgrønnsaker. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Hjemmelaget nigiri sushi. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Urte- og kaperslaks. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Gruyère- og pepperrotgratinert ytrefilet. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Lakseskiver i folie med grønnsaker og sitron- og dillsmør. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,"Recipe: Hel laks med sitron, urter og potetskiver. Offers: .",Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Ovnsbakt reinsdyrplomme. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Helstekt entrecôte med chimichurri. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Helstekt indrefilet med hasselback poteter og kremet sopp. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Sashimi av laks. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Urtepanerte koteletter. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Laks fylt med avokado og lime. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,"Recipe: Skrei med spekeskinke, hollandaise, gulrøtter og ertepuré med mynte. Offers: .",Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,"Recipe: Taco med laks, spinat, frisk salsa og fetaost. Offers: .",High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Fisketaco med torsk. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Skrei med smak av middelhavet. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Helstekt lammelår à la Provence. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Sommerkoteletter med grillet hjertesalat og roquefortdressing. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Spareribs med grillet søtpotet. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Omelettwrap med grillet kylling. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Glasert svineribbe med kålsalat. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Melkefri lasagne. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Grønnsakslasagne med paprika og spinat. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: BBQ lakseburger. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Baconstekt kalkunfilet med ovnsbakte grønnsaker. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Laksewrap med avokado. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Hjemmelagde fiskepinner i wrap. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Laks med kryddersmør og grønnsakspakke. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Nakkekoteletter med rødvinssaus. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Laksefilet med couscous. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Svinekoteletter med couscoussalat. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Asiatisk grillribbe. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Torskefilet med ovnsbakte grønnsaker. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,"Recipe: Lakseburrito med agurk, rømme og sukkererter. Offers: .",Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Nakkekoteletter med byggrynsalat. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Dampet torsk med sennepssaus og rødkål. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Ribbe med brokkolisalat og saltkokte poteter. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Steamed buns med svinekjøtt. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Ovnsbakt torsk med sennepssaus. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Nakkekoteletter med rødkål. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,"Recipe: Grillet lakseburger med bacon, grønnkål og parmesan. Offers: .",Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,"Recipe: Vegetarburger med grillet mais, sopp og tortillachips. Offers: .",High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Vegetarburger med coleslaw. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Vegetarburger med hummus. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Grillribbe med maisstuing. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Sitronkylling med urter. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Ovnsbakt kyllingfilet med appelsinsaus. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Panert fisk med chilimajones. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Beyond Meat burger med pommes frites. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Elgkarbonader med soppstuing. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Lettsaltet torsk i form. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Laks teriyaki med ris. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Vegetarburger med halloumi og grillede grønnsaker. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Helstekt svinefilet. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,"Recipe: Urtestekt reinsdyrfilet med rosépepper, rødkål og jordskokk. Offers: .",Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Reinsdyrtaco i potetlefse med tyttebærrømme. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Reinsdyrcarré med gresskarpuré og sennepsjy. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Urtemarinerte lammekoteletter med grillet halloumi. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Svinekoteletter med pesto. Offers: .,Low relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Laks i folie med ramsløksmør. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Ovnsbakt skrei med hvit saus. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Grillribbe med ovnsbakte grønnsaker. Offers: .,High relevance
Evaluate the relevance of the following recipe based on this week's offers.,Recipe: Klassisk elgstek. Offers: .,Low relevance
